hand,age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,rank_points,won,surface,draw_size,tourney_level,tourney_date,best_of,round,minutes
R,28.5,24.0,4.0,131.0,84.0,64.0,27.0,21.0,4.0,7.0,28.0,1530.0,1,Grass,128,G,2018,5,R64,163.0
R,32.8,2.0,0.0,54.0,42.0,27.0,10.0,9.0,2.0,3.0,13.0,2770.0,1,Hard,32,A,2021,3,SF,73.0
R,31.3,7.0,0.0,64.0,40.0,34.0,16.0,12.0,1.0,1.0,91.0,608.0,1,Hard,128,G,2020,5,R128,75.0
R,26.9,2.0,5.0,52.0,33.0,20.0,5.0,8.0,4.0,8.0,5.0,4635.0,0,Clay,64,M,2018,3,SF,92.0
R,19.9,11.0,0.0,64.0,41.0,36.0,17.0,11.0,1.0,1.0,27.0,1534.0,1,Hard,64,M,2018,3,R64,87.0
L,24.5,5.0,9.0,78.0,45.0,24.0,14.0,13.0,2.0,9.0,58.0,872.0,0,Hard,32,A,2020,3,R32,116.0
R,31.7,18.0,3.0,81.0,53.0,40.0,15.0,14.0,4.0,6.0,8.0,2825.0,1,Hard,32,A,2018,3,SF,141.0
R,32.0,8.0,0.0,75.0,52.0,44.0,12.0,13.0,5.0,5.0,1.0,12355.0,1,Clay,128,G,2019,5,R32,124.0
L,28.7,3.0,1.0,56.0,37.0,28.0,9.0,10.0,4.0,6.0,70.0,801.0,1,Clay,32,A,2019,3,QF,78.0
R,22.2,21.0,9.0,74.0,44.0,39.0,13.0,11.0,0.0,1.0,71.0,860.0,1,Hard,32,A,2019,3,SF,85.0
L,40.1,14.0,5.0,98.0,49.0,40.0,22.0,14.0,10.0,12.0,106.0,731.0,1,Hard,2,D,2021,3,RR,105.0
R,26.4,2.0,2.0,57.0,33.0,26.0,11.0,10.0,5.0,7.0,96.0,621.0,1,Hard,32,A,2020,3,R32,77.0
R,22.0,4.0,3.0,129.0,81.0,58.0,20.0,20.0,6.0,11.0,53.0,900.0,0,Clay,128,G,2019,5,R128,185.0
L,29.4,12.0,5.0,119.0,80.0,50.0,22.0,17.0,7.0,12.0,22.0,1885.0,0,Grass,32,A,2017,3,R32,157.0
L,26.2,3.0,0.0,47.0,25.0,15.0,6.0,7.0,4.0,9.0,64.0,784.0,0,Hard,32,A,2022,3,R32,68.0
R,30.6,11.0,5.0,75.0,40.0,27.0,16.0,11.0,3.0,6.0,86.0,620.0,0,Hard,32,A,2017,3,R16,95.0
R,32.1,2.0,2.0,47.0,26.0,19.0,7.0,8.0,1.0,5.0,41.0,1325.0,0,Hard,32,A,2020,3,R32,66.0
R,32.3,8.0,2.0,86.0,64.0,45.0,16.0,15.0,5.0,7.0,1.0,10365.0,0,Hard,64,M,2019,3,QF,122.0
R,26.9,4.0,4.0,48.0,30.0,17.0,6.0,8.0,4.0,8.0,56.0,844.0,0,Clay,64,M,2017,3,R64,76.0
L,30.3,2.0,6.0,72.0,49.0,35.0,7.0,10.0,7.0,10.0,155.0,352.0,0,Hard,32,A,2017,3,R16,87.0
R,29.2,15.0,3.0,61.0,34.0,31.0,15.0,11.0,2.0,2.0,248.0,184.0,1,Hard,64,M,2019,3,R32,89.0
R,27.1,9.0,0.0,73.0,50.0,38.0,14.0,11.0,0.0,0.0,132.0,632.0,1,Hard,32,A,2021,3,R16,97.0
R,30.9,5.0,4.0,66.0,43.0,31.0,12.0,9.0,4.0,5.0,41.0,1485.0,1,Clay,32,A,2021,3,R16,81.0
R,31.7,16.0,2.0,86.0,50.0,43.0,27.0,16.0,2.0,3.0,9.0,3080.0,1,Hard,128,M,2018,3,R16,138.0
R,29.3,2.0,5.0,121.0,76.0,56.0,23.0,17.0,4.0,7.0,16.0,2335.0,1,Hard,64,M,2017,3,R16,176.0
U,25.4,15.0,3.0,77.0,53.0,44.0,11.0,14.0,2.0,4.0,159.0,390.0,1,Hard,4,D,2022,3,RR,126.0
R,23.3,2.0,1.0,54.0,33.0,25.0,13.0,8.0,1.0,1.0,7.0,4110.0,1,Clay,64,A,2022,3,R16,75.0
R,32.0,5.0,3.0,143.0,101.0,67.0,24.0,21.0,8.0,11.0,313.0,155.0,1,Hard,4,D,2017,5,RR,183.0
R,35.6,14.0,7.0,141.0,95.0,71.0,23.0,23.0,9.0,13.0,115.0,491.0,1,Hard,128,G,2017,5,R64,207.0
L,23.4,2.0,7.0,141.0,80.0,54.0,29.0,18.0,13.0,16.0,62.0,762.0,0,Clay,32,A,2019,3,R16,199.0
R,29.1,4.0,1.0,62.0,36.0,26.0,14.0,10.0,2.0,4.0,58.0,791.0,1,Hard,32,A,2022,3,R16,100.0
R,26.4,8.0,2.0,79.0,45.0,30.0,14.0,10.0,10.0,13.0,767.0,27.0,0,Hard,4,D,2021,3,RR,90.0
R,33.1,4.0,2.0,52.0,34.0,28.0,10.0,8.0,4.0,4.0,79.0,768.0,1,Clay,32,A,2022,3,SF,75.0
L,21.1,4.0,3.0,116.0,63.0,36.0,27.0,15.0,10.0,15.0,304.0,163.0,0,Clay,32,A,2017,3,R16,171.0
R,22.8,13.0,3.0,89.0,54.0,46.0,16.0,16.0,2.0,4.0,91.0,594.0,1,Hard,32,A,2020,3,SF,128.0
R,23.2,7.0,3.0,55.0,30.0,20.0,12.0,10.0,2.0,6.0,54.0,965.0,0,Clay,32,A,2020,3,R32,72.0
R,28.6,4.0,3.0,79.0,58.0,42.0,9.0,10.0,3.0,4.0,93.0,725.0,0,Clay,32,A,2022,3,R32,106.0
L,21.8,9.0,4.0,81.0,45.0,36.0,16.0,12.0,4.0,6.0,12.0,2830.0,0,Hard,12,A,2021,3,RR,113.0
R,25.6,14.0,3.0,109.0,73.0,50.0,14.0,16.0,10.0,15.0,30.0,1748.0,0,Hard,128,G,2022,5,R32,170.0
R,25.6,8.0,1.0,113.0,77.0,56.0,21.0,19.0,2.0,4.0,72.0,806.0,1,Clay,128,G,2018,5,R16,151.0
U,27.1,7.0,10.0,99.0,52.0,39.0,21.0,15.0,6.0,10.0,256.0,205.0,0,Grass,128,G,2022,5,R128,107.0
R,28.3,11.0,1.0,89.0,44.0,34.0,18.0,12.0,9.0,12.0,62.0,785.0,1,Clay,32,A,2017,3,QF,113.0
R,20.4,14.0,4.0,97.0,67.0,49.0,17.0,15.0,4.0,6.0,21.0,2241.0,1,Hard,64,A,2021,3,R16,131.0
R,30.5,6.0,3.0,95.0,69.0,48.0,9.0,16.0,5.0,10.0,18.0,2265.0,0,Clay,32,A,2022,3,R16,180.0
R,31.2,5.0,1.0,57.0,33.0,23.0,8.0,10.0,4.0,8.0,30.0,1365.0,0,Hard,32,A,2017,3,QF,97.0
R,21.3,2.0,5.0,96.0,70.0,55.0,10.0,15.0,2.0,4.0,37.0,1163.0,1,Clay,64,M,2022,3,R64,151.0
R,31.1,5.0,4.0,130.0,86.0,64.0,17.0,20.0,3.0,6.0,16.0,2030.0,0,Grass,128,G,2018,5,R32,174.0
R,26.2,2.0,2.0,117.0,75.0,44.0,18.0,16.0,10.0,17.0,82.0,640.0,0,Hard,128,G,2022,5,R64,156.0
R,28.3,1.0,7.0,72.0,34.0,23.0,20.0,12.0,1.0,5.0,50.0,950.0,0,Hard,64,A,2017,3,R32,91.0
R,21.0,12.0,1.0,120.0,81.0,57.0,18.0,10.0,14.0,17.0,47.0,1028.0,0,Hard,128,G,2020,5,R64,158.0
R,29.4,2.0,1.0,65.0,29.0,21.0,26.0,11.0,2.0,2.0,3.0,4870.0,1,Hard,128,M,2018,3,R64,99.0
R,22.9,15.0,0.0,95.0,62.0,47.0,17.0,16.0,5.0,8.0,48.0,1020.0,1,Hard,64,M,2018,3,R32,129.0
R,30.1,2.0,0.0,52.0,37.0,22.0,4.0,8.0,2.0,6.0,119.0,604.0,0,Hard,32,A,2022,3,R16,64.0
R,28.1,2.0,2.0,83.0,46.0,28.0,15.0,13.0,8.0,14.0,59.0,830.0,0,Clay,128,G,2017,5,R64,127.0
L,24.6,8.0,3.0,114.0,66.0,39.0,19.0,15.0,8.0,15.0,144.0,483.0,0,Clay,32,A,2022,3,F,160.0
R,25.8,2.0,2.0,62.0,39.0,23.0,12.0,9.0,6.0,9.0,49.0,1258.0,0,Clay,32,A,2021,3,R32,92.0
R,39.1,14.0,3.0,66.0,46.0,40.0,10.0,12.0,4.0,5.0,88.0,645.0,1,Clay,32,A,2018,3,R16,96.0
R,26.1,9.0,10.0,87.0,49.0,42.0,18.0,14.0,6.0,8.0,11.0,3070.0,1,Grass,128,G,2017,5,R128,110.0
L,22.9,6.0,0.0,79.0,52.0,31.0,14.0,12.0,7.0,11.0,95.0,570.0,0,Clay,32,A,2017,3,R32,110.0
R,23.3,3.0,7.0,87.0,53.0,35.0,18.0,11.0,5.0,6.0,109.0,548.0,1,Clay,64,M,2020,3,R64,99.0
R,21.9,4.0,2.0,87.0,52.0,35.0,15.0,13.0,10.0,14.0,286.0,166.0,0,Hard,32,A,2020,3,R32,139.0
R,29.0,5.0,3.0,66.0,39.0,26.0,14.0,11.0,0.0,3.0,75.0,869.0,1,Hard,32,A,2021,3,R32,92.0
R,33.9,3.0,3.0,86.0,51.0,30.0,13.0,12.0,7.0,13.0,61.0,1020.0,0,Hard,128,G,2021,5,R128,91.0
R,26.8,7.0,4.0,71.0,45.0,31.0,13.0,11.0,2.0,4.0,102.0,673.0,0,Hard,128,M,2022,3,R16,99.0
R,32.9,12.0,0.0,127.0,78.0,55.0,24.0,20.0,2.0,6.0,200.0,252.0,1,Hard,128,G,2019,5,R128,154.0
R,35.1,7.0,3.0,95.0,50.0,37.0,25.0,14.0,10.0,12.0,43.0,1042.0,1,Clay,4,D,2017,3,RR,145.0
R,26.8,12.0,2.0,62.0,46.0,36.0,4.0,8.0,4.0,4.0,132.0,493.0,1,Hard,128,M,2022,3,R128,72.0
R,21.5,7.0,1.0,67.0,43.0,33.0,12.0,10.0,2.0,2.0,95.0,597.0,1,Clay,4,D,2018,3,RR,69.0
R,19.4,3.0,5.0,101.0,66.0,41.0,14.0,15.0,5.0,11.0,58.0,1106.0,0,Hard,64,A,2021,3,R64,164.0
R,25.2,0.0,3.0,64.0,44.0,30.0,8.0,10.0,3.0,6.0,123.0,538.0,1,Clay,32,A,2022,3,R32,83.0
R,26.3,14.0,5.0,82.0,51.0,41.0,16.0,14.0,1.0,3.0,14.0,2705.0,1,Hard,4,D,2017,5,RR,128.0
R,24.4,16.0,1.0,70.0,48.0,42.0,17.0,12.0,1.0,1.0,23.0,1846.0,1,Hard,32,A,2022,3,F,111.0
R,27.0,5.0,2.0,95.0,57.0,38.0,24.0,13.0,7.0,8.0,3.0,9125.0,1,Clay,128,G,2020,5,R32,135.0
R,20.1,6.0,1.0,54.0,26.0,22.0,21.0,10.0,1.0,2.0,16.0,2155.0,1,Hard,32,A,2018,3,R32,86.0
R,23.4,2.0,14.0,121.0,64.0,38.0,21.0,17.0,8.0,18.0,507.0,72.0,0,Hard,4,D,2017,5,RR,163.0
R,25.2,0.0,3.0,162.0,110.0,73.0,26.0,22.0,6.0,10.0,91.0,593.0,1,Clay,128,G,2017,5,R128,211.0
R,32.6,5.0,1.0,65.0,46.0,38.0,11.0,11.0,0.0,1.0,91.0,738.0,1,Hard,32,A,2022,3,R16,90.0
R,34.7,1.0,3.0,81.0,39.0,25.0,22.0,12.0,5.0,8.0,63.0,907.0,0,Clay,32,A,2020,3,R32,131.0
R,31.0,2.0,5.0,67.0,32.0,23.0,15.0,10.0,7.0,10.0,39.0,1476.0,0,Hard,32,A,2022,3,R16,100.0
R,22.2,12.0,5.0,81.0,57.0,39.0,9.0,14.0,1.0,5.0,5.0,4325.0,1,Clay,32,A,2019,3,QF,140.0
R,24.5,5.0,6.0,86.0,50.0,33.0,19.0,14.0,3.0,8.0,16.0,2405.0,1,Clay,32,A,2017,3,QF,133.0
R,27.6,4.0,0.0,85.0,47.0,34.0,17.0,14.0,1.0,4.0,35.0,1205.0,0,Hard,64,M,2017,3,R64,98.0
R,24.7,3.0,3.0,62.0,31.0,26.0,17.0,10.0,2.0,3.0,13.0,2930.0,0,Hard,64,M,2022,3,QF,97.0
R,37.5,4.0,0.0,50.0,34.0,28.0,12.0,10.0,0.0,0.0,4.0,4600.0,1,Hard,128,M,2019,3,R32,59.0
R,29.7,3.0,2.0,54.0,40.0,22.0,5.0,8.0,4.0,8.0,43.0,980.0,0,Hard,128,M,2017,3,R32,66.0
R,31.3,4.0,4.0,89.0,44.0,30.0,21.0,12.0,9.0,12.0,44.0,1013.0,0,Hard,32,A,2017,3,QF,129.0
R,24.0,4.0,3.0,161.0,121.0,83.0,19.0,21.0,8.0,10.0,72.0,974.0,1,Clay,128,G,2021,5,R128,263.0
L,23.1,4.0,2.0,71.0,36.0,25.0,20.0,11.0,5.0,7.0,45.0,1022.0,0,Hard,64,M,2018,3,R64,90.0
R,21.2,3.0,3.0,42.0,24.0,15.0,6.0,7.0,5.0,9.0,7.0,3830.0,0,Hard,64,M,2019,3,QF,58.0
R,25.8,22.0,4.0,157.0,105.0,77.0,29.0,27.0,10.0,14.0,137.0,401.0,0,Hard,128,G,2022,5,R128,233.0
R,27.3,1.0,2.0,56.0,28.0,20.0,19.0,10.0,1.0,3.0,17.0,1970.0,0,Grass,32,A,2019,3,R32,70.0
R,25.1,0.0,1.0,62.0,40.0,31.0,12.0,10.0,2.0,3.0,113.0,725.0,0,Hard,64,A,2021,3,R32,95.0
R,20.6,6.0,6.0,58.0,28.0,21.0,13.0,11.0,3.0,7.0,1136.0,8.0,1,Hard,4,D,2021,3,RR,88.0
R,29.7,5.0,4.0,82.0,56.0,46.0,13.0,15.0,3.0,5.0,148.0,396.0,1,Clay,32,A,2017,3,R32,133.0
R,22.4,12.0,3.0,43.0,22.0,19.0,14.0,8.0,0.0,0.0,19.0,2245.0,1,Hard,32,A,2017,3,R32,55.0
R,26.7,3.0,3.0,111.0,79.0,47.0,11.0,15.0,8.0,15.0,22.0,1962.0,0,Clay,32,A,2022,3,SF,176.0
R,22.6,13.0,2.0,100.0,62.0,53.0,21.0,16.0,2.0,2.0,21.0,2010.0,1,Hard,32,A,2018,3,R16,132.0
R,35.1,1.0,3.0,59.0,36.0,16.0,8.0,7.0,5.0,11.0,59.0,852.0,0,Hard,128,M,2019,3,R128,73.0
R,22.3,1.0,2.0,68.0,47.0,26.0,8.0,10.0,4.0,9.0,95.0,775.0,0,Hard,64,A,2021,3,R64,92.0
L,33.4,4.0,3.0,69.0,54.0,35.0,5.0,13.0,4.0,9.0,37.0,1085.0,0,Clay,64,M,2017,3,R32,115.0
R,29.3,8.0,2.0,83.0,63.0,44.0,11.0,13.0,6.0,8.0,33.0,1341.0,0,Hard,32,A,2019,3,R32,105.0
R,26.8,5.0,3.0,64.0,35.0,27.0,19.0,13.0,1.0,4.0,10.0,2975.0,1,Hard,64,M,2017,3,R32,87.0
R,19.5,4.0,2.0,67.0,39.0,28.0,15.0,10.0,7.0,9.0,71.0,756.0,1,Hard,128,M,2018,3,R128,92.0
L,34.3,5.0,2.0,106.0,72.0,45.0,15.0,15.0,8.0,13.0,42.0,991.0,0,Hard,32,A,2022,3,R32,168.0
R,23.8,2.0,6.0,114.0,84.0,53.0,14.0,17.0,8.0,13.0,104.0,745.0,0,Clay,32,A,2021,3,R32,164.0
R,26.7,13.0,5.0,135.0,82.0,53.0,28.0,18.0,10.0,14.0,85.0,629.0,0,Grass,128,G,2017,5,R128,137.0
R,24.0,6.0,3.0,91.0,63.0,44.0,13.0,17.0,0.0,4.0,210.0,305.0,1,Hard,128,G,2021,5,R128,150.0
R,28.1,9.0,3.0,131.0,84.0,64.0,23.0,19.0,8.0,10.0,69.0,852.0,0,Hard,128,G,2019,5,R32,193.0
R,32.1,1.0,2.0,55.0,32.0,13.0,9.0,9.0,4.0,11.0,88.0,606.0,0,Hard,128,G,2022,5,R128,78.0
R,28.7,4.0,3.0,40.0,17.0,12.0,9.0,8.0,0.0,4.0,44.0,1110.0,0,Hard,32,A,2018,3,QF,53.0
R,35.4,2.0,5.0,85.0,39.0,29.0,17.0,15.0,8.0,14.0,186.0,266.0,0,Hard,128,G,2019,5,R128,111.0
R,23.1,42.0,6.0,144.0,105.0,87.0,22.0,24.0,5.0,5.0,18.0,1855.0,1,Grass,128,G,2018,5,R128,154.0
R,28.4,9.0,3.0,118.0,74.0,53.0,25.0,16.0,4.0,5.0,56.0,910.0,0,Hard,32,A,2018,3,QF,141.0
R,30.7,0.0,2.0,82.0,55.0,32.0,14.0,12.0,5.0,9.0,208.0,241.0,0,Clay,32,A,2019,3,F,110.0
R,28.4,13.0,3.0,91.0,62.0,41.0,10.0,14.0,8.0,13.0,35.0,1155.0,0,Hard,128,M,2017,3,R32,137.0
R,28.5,1.0,2.0,90.0,67.0,43.0,14.0,14.0,6.0,9.0,94.0,816.0,0,Clay,32,A,2021,3,R16,111.0
R,29.5,3.0,1.0,74.0,41.0,30.0,17.0,10.0,5.0,7.0,91.0,839.0,1,Clay,32,A,2021,3,R32,112.0
R,23.7,8.0,5.0,85.0,54.0,40.0,14.0,12.0,3.0,6.0,64.0,885.0,1,Clay,32,A,2019,3,R32,103.0
R,30.8,13.0,3.0,76.0,39.0,34.0,24.0,12.0,2.0,2.0,17.0,1940.0,1,Hard,64,A,2019,3,R32,132.0
L,35.5,14.0,1.0,62.0,32.0,26.0,18.0,11.0,2.0,3.0,40.0,1020.0,1,Clay,32,A,2017,3,R32,97.0
R,26.5,11.0,5.0,154.0,78.0,52.0,37.0,22.0,9.0,16.0,137.0,409.0,0,Grass,128,G,2018,5,R128,165.0
R,29.1,3.0,1.0,71.0,45.0,34.0,8.0,13.0,7.0,12.0,106.0,625.0,0,Hard,128,M,2022,3,R128,118.0
R,32.1,8.0,5.0,88.0,49.0,38.0,22.0,15.0,6.0,8.0,60.0,910.0,1,Clay,32,A,2019,3,R16,133.0
R,28.0,1.0,6.0,77.0,44.0,28.0,18.0,11.0,4.0,8.0,25.0,2074.0,0,Hard,32,A,2021,3,R16,119.0
R,19.9,3.0,7.0,65.0,39.0,28.0,10.0,9.0,4.0,6.0,35.0,1247.0,0,Hard,64,M,2017,3,R32,77.0
R,25.1,19.0,5.0,172.0,112.0,77.0,28.0,29.0,8.0,17.0,29.0,1965.0,1,Grass,128,G,2021,5,R16,229.0
R,33.8,5.0,4.0,108.0,77.0,50.0,14.0,15.0,6.0,10.0,72.0,880.0,0,Hard,32,A,2021,3,SF,125.0
L,21.7,3.0,2.0,54.0,30.0,25.0,13.0,10.0,1.0,2.0,80.0,838.0,1,Hard,64,A,2021,3,R32,83.0
R,30.9,2.0,9.0,62.0,29.0,20.0,12.0,9.0,8.0,12.0,129.0,422.0,0,Hard,32,A,2019,3,R16,86.0
R,36.8,1.0,8.0,47.0,14.0,8.0,15.0,8.0,0.0,5.0,81.0,660.0,0,Hard,128,M,2017,3,R64,51.0
R,29.2,1.0,0.0,60.0,34.0,22.0,18.0,10.0,3.0,4.0,58.0,801.0,1,Hard,32,A,2022,3,R16,81.0
R,21.2,3.0,4.0,50.0,28.0,18.0,12.0,9.0,1.0,4.0,150.0,384.0,0,Hard,32,A,2022,3,R32,68.0
R,26.3,14.0,4.0,91.0,63.0,47.0,14.0,15.0,3.0,5.0,70.0,697.0,0,Hard,128,G,2022,5,R128,121.0
R,24.2,8.0,1.0,58.0,40.0,31.0,12.0,10.0,1.0,1.0,5.0,5035.0,1,Hard,64,M,2022,3,R32,80.0
R,28.5,0.0,1.0,34.0,21.0,6.0,3.0,7.0,2.0,8.0,91.0,603.0,0,Clay,64,A,2017,3,QF,52.0
R,27.5,12.0,1.0,78.0,52.0,41.0,14.0,12.0,6.0,7.0,84.0,663.0,0,Hard,32,A,2019,3,R32,121.0
R,20.9,1.0,0.0,53.0,29.0,15.0,11.0,8.0,2.0,6.0,56.0,913.0,0,Hard,32,A,2018,3,R32,63.0
R,29.9,1.0,3.0,99.0,75.0,51.0,8.0,15.0,5.0,9.0,16.0,2200.0,1,Hard,64,M,2022,3,R32,172.0
R,35.2,1.0,6.0,105.0,58.0,36.0,20.0,13.0,8.0,13.0,79.0,918.0,0,Hard,128,G,2021,5,R128,117.0
R,29.8,0.0,1.0,39.0,24.0,10.0,5.0,7.0,1.0,6.0,82.0,639.0,0,Hard,32,A,2017,3,R32,56.0
R,29.1,11.0,3.0,87.0,44.0,37.0,20.0,14.0,5.0,7.0,35.0,1240.0,0,Grass,32,A,2019,3,R16,103.0
R,25.8,9.0,1.0,87.0,64.0,44.0,12.0,13.0,5.0,7.0,83.0,636.0,0,Hard,32,A,2020,3,R32,106.0
R,26.4,9.0,2.0,95.0,56.0,43.0,16.0,16.0,4.0,8.0,10.0,3055.0,1,Clay,64,M,2017,3,R64,151.0
R,22.7,7.0,5.0,60.0,33.0,25.0,16.0,10.0,1.0,2.0,91.0,623.0,1,Clay,32,A,2019,3,R32,99.0
R,28.1,7.0,3.0,103.0,64.0,38.0,16.0,14.0,6.0,11.0,319.0,151.0,0,Hard,4,D,2017,3,RR,135.0
U,26.4,1.0,4.0,84.0,46.0,29.0,16.0,11.0,11.0,15.0,152.0,407.0,0,Clay,64,A,2022,3,R64,102.0
R,34.5,8.0,2.0,76.0,45.0,29.0,19.0,11.0,5.0,6.0,36.0,1230.0,0,Hard,32,A,2019,3,R32,118.0
R,24.3,7.0,6.0,132.0,71.0,45.0,28.0,20.0,9.0,15.0,75.0,950.0,0,Hard,128,G,2021,5,R64,172.0
L,37.5,1.0,1.0,52.0,40.0,17.0,5.0,7.0,7.0,12.0,107.0,755.0,0,Clay,32,A,2021,3,QF,62.0
R,27.5,5.0,3.0,70.0,40.0,28.0,15.0,12.0,1.0,4.0,102.0,577.0,0,Hard,32,A,2017,3,R16,85.0
R,27.9,7.0,0.0,67.0,50.0,40.0,10.0,11.0,2.0,2.0,59.0,860.0,1,Grass,32,A,2019,3,R16,87.0
L,19.3,4.0,4.0,57.0,41.0,33.0,7.0,9.0,6.0,6.0,26.0,1575.0,1,Hard,64,M,2018,3,R64,63.0
R,31.9,0.0,1.0,29.0,19.0,11.0,6.0,5.0,1.0,3.0,7.0,3660.0,0,Clay,64,M,2018,3,R32,43.0
L,21.9,8.0,8.0,108.0,72.0,54.0,17.0,17.0,1.0,3.0,12.0,2865.0,0,Hard,64,A,2021,3,SF,161.0
R,29.1,1.0,1.0,49.0,41.0,31.0,3.0,8.0,0.0,0.0,127.0,636.0,1,Clay,32,A,2021,3,R16,67.0
R,29.6,3.0,1.0,93.0,57.0,45.0,15.0,15.0,4.0,7.0,2.0,11780.0,1,Hard,32,A,2017,3,SF,142.0
R,24.9,13.0,5.0,76.0,45.0,35.0,14.0,12.0,0.0,2.0,37.0,1105.0,0,Grass,32,A,2022,3,R16,94.0
R,31.8,15.0,4.0,87.0,52.0,40.0,21.0,15.0,2.0,3.0,40.0,1050.0,1,Hard,32,A,2018,3,R32,99.0
R,26.2,3.0,4.0,87.0,44.0,26.0,20.0,9.0,10.0,13.0,209.0,247.0,0,Hard,32,A,2017,3,SF,87.0
R,26.5,1.0,4.0,122.0,79.0,49.0,21.0,19.0,12.0,19.0,139.0,506.0,0,Hard,128,G,2022,5,R128,155.0
R,30.2,10.0,5.0,112.0,78.0,59.0,19.0,18.0,9.0,10.0,87.0,610.0,1,Hard,128,G,2019,5,R128,143.0
R,23.2,7.0,4.0,87.0,50.0,36.0,17.0,15.0,2.0,8.0,167.0,356.0,0,Hard,128,M,2022,3,R64,121.0
R,31.4,6.0,3.0,74.0,42.0,31.0,16.0,10.0,9.0,10.0,2.0,7445.0,1,Hard,64,M,2018,3,R32,93.0
R,22.5,17.0,0.0,74.0,49.0,41.0,12.0,14.0,2.0,4.0,52.0,932.0,0,Hard,32,A,2018,3,R32,108.0
R,30.9,6.0,2.0,102.0,64.0,38.0,18.0,16.0,2.0,8.0,98.0,638.0,0,Hard,128,G,2020,5,R128,131.0
R,29.4,7.0,0.0,50.0,38.0,30.0,5.0,9.0,3.0,4.0,10.0,2815.0,1,Hard,32,A,2018,3,R32,67.0
R,34.5,7.0,0.0,51.0,32.0,24.0,11.0,10.0,1.0,3.0,16.0,1910.0,0,Hard,64,M,2019,3,R16,87.0
R,33.1,3.0,3.0,52.0,36.0,21.0,6.0,9.0,2.0,6.0,14.0,2260.0,0,Hard,32,A,2019,3,SF,74.0
R,29.5,0.0,5.0,98.0,61.0,36.0,21.0,16.0,6.0,11.0,15.0,2660.0,0,Hard,128,M,2022,3,R64,185.0
R,25.4,6.0,4.0,80.0,38.0,34.0,20.0,13.0,1.0,2.0,26.0,1675.0,1,Hard,128,G,2018,5,R64,118.0
R,29.6,10.0,0.0,76.0,46.0,36.0,13.0,12.0,3.0,6.0,1.0,12410.0,1,Hard,32,A,2017,3,R16,143.0
L,28.8,10.0,5.0,128.0,75.0,55.0,28.0,21.0,6.0,10.0,117.0,463.0,1,Clay,128,G,2018,5,R128,203.0
R,34.4,7.0,3.0,67.0,36.0,33.0,15.0,11.0,3.0,3.0,50.0,996.0,1,Hard,64,A,2018,3,R64,83.0
R,20.1,0.0,0.0,27.0,20.0,12.0,4.0,5.0,0.0,2.0,63.0,896.0,0,Clay,64,M,2022,3,R16,39.0
R,21.8,2.0,2.0,26.0,10.0,8.0,11.0,4.0,4.0,4.0,43.0,1066.0,1,Hard,128,G,2019,5,R64,41.0
L,32.9,4.0,0.0,41.0,32.0,26.0,5.0,8.0,2.0,3.0,66.0,798.0,1,Clay,32,A,2018,3,R32,55.0
L,33.6,6.0,6.0,139.0,85.0,68.0,27.0,20.0,3.0,4.0,35.0,1175.0,0,Grass,128,G,2017,5,R128,175.0
R,19.8,7.0,3.0,125.0,76.0,53.0,29.0,17.0,8.0,10.0,53.0,890.0,1,Hard,128,G,2017,5,R64,147.0
R,23.8,7.0,4.0,81.0,57.0,40.0,14.0,14.0,2.0,4.0,129.0,546.0,0,Hard,32,A,2021,3,R32,138.0
R,24.6,12.0,2.0,58.0,40.0,33.0,10.0,11.0,2.0,3.0,75.0,838.0,1,Hard,32,A,2022,3,R32,82.0
R,22.5,8.0,7.0,62.0,33.0,29.0,14.0,10.0,1.0,1.0,57.0,952.0,1,Hard,64,A,2018,3,F,84.0
U,26.5,2.0,3.0,55.0,33.0,24.0,7.0,9.0,1.0,4.0,792.0,23.0,0,Hard,4,D,2017,3,RR,60.0
R,32.3,2.0,7.0,58.0,29.0,15.0,9.0,7.0,9.0,15.0,12.0,2415.0,0,Hard,32,A,2019,3,R16,61.0
R,28.0,9.0,3.0,75.0,43.0,30.0,21.0,11.0,2.0,2.0,96.0,598.0,1,Hard,32,A,2020,3,R32,83.0
R,25.4,1.0,1.0,70.0,44.0,26.0,10.0,10.0,7.0,12.0,146.0,387.0,0,Clay,64,A,2018,3,R16,103.0
L,26.6,3.0,2.0,101.0,63.0,47.0,16.0,16.0,2.0,7.0,11.0,3335.0,0,Clay,64,M,2022,3,R16,159.0
R,33.1,28.0,3.0,88.0,61.0,50.0,18.0,16.0,2.0,2.0,10.0,3045.0,1,Grass,128,G,2018,5,R128,125.0
R,26.3,1.0,3.0,45.0,26.0,14.0,6.0,8.0,1.0,6.0,64.0,1060.0,0,Hard,64,M,2021,3,R32,59.0
L,30.7,4.0,9.0,97.0,63.0,38.0,19.0,15.0,5.0,10.0,46.0,1435.0,0,Clay,32,A,2021,3,R16,138.0
R,20.1,10.0,2.0,49.0,40.0,31.0,2.0,8.0,3.0,4.0,10.0,3070.0,1,Grass,32,A,2017,3,R16,54.0
R,32.2,28.0,3.0,95.0,65.0,59.0,15.0,16.0,0.0,0.0,45.0,1080.0,1,Hard,32,A,2020,3,R32,106.0
R,34.6,4.0,2.0,73.0,46.0,31.0,14.0,13.0,2.0,6.0,90.0,671.0,0,Clay,128,G,2018,5,R128,111.0
